PC1,PC2,Problem
5283502.962358244,0.0002749293359143312,k_branch_n.0025.
5283502.962358244,0.0002749293359143312,k_t4p_p.15000.
5283502.962358244,0.0002749293359143312,k_t4p_p.14000.
5283502.962358244,0.0002749293359143312,k_branch_n.0024.
5283502.962358244,0.0002749293359143312,k_branch_n.0023.
5283502.962358244,0.0002749293359143312,k_branch_n.0036.
5283502.962358244,0.0002749293359143312,k_branch_n.0034.
5283502.962358244,0.0002749293359143312,k_branch_n.0032.
5283502.962358244,0.0002749293359143312,k_branch_n.0030.
5283502.962358244,0.0002749293359143312,k_t4p_p.13000.
5283502.962358244,0.0002749293359143312,k_t4p_p.12000.
5283502.962358244,0.0002749293359143312,k_t4p_n.12000.
5283502.962358244,0.0002749293359143312,k_t4p_n.13000.
5283502.962358244,0.0002749293359143312,k_t4p_n.14000.
5283502.962358244,0.0002749293359143312,k_t4p_n.15000.
5283502.962358244,0.0002749293359143312,k_branch_n.0029.
5283502.962358244,0.0002749293359143312,k_branch_n.0028.
5283502.962358244,0.0002749293359143312,k_lin_p.275000.
5283502.962358244,0.0002749293359143312,k_lin_p.300000.
5283502.962358244,0.0002749293359143312,k_lin_p.090000.
5283502.962358244,0.0002749293359143312,k_lin_p.100000.
5283502.962358244,0.0002749293359143312,k_lin_p.110000.
5283502.962358244,0.0002749293359143312,k_lin_p.120000.
5283502.962358244,0.0002749293359143312,k_lin_p.130000.
5283502.962358244,0.0002749293359143312,k_lin_p.140000.
5283502.962358244,0.0002749293359143312,k_lin_n.4800.
5283502.962358244,0.0002749293359143312,k_lin_n.5000.
5283502.962358244,0.0002749293359143312,k_lin_p.170000.
5283502.962358244,0.0002749293359143312,k_lin_p.180000.
5283502.962358244,0.0002749293359143312,k_lin_p.190000.
5283502.962358244,0.0002749293359143312,k_lin_p.200000.
5283502.962358244,0.0002749293359143312,k_lin_p.225000.
5283502.962358244,0.0002749293359143312,k_lin_p.250000.
5283502.962358244,0.0002749293359143312,k_lin_n.3600.
5283502.962358244,0.0002749293359143312,k_lin_n.3800.
5283502.962358244,0.0002749293359143312,k_lin_n.4000.
5283502.962358244,0.0002749293359143312,k_lin_n.4200.
5283502.962358244,0.0002749293359143312,k_lin_n.4400.
5283502.962358244,0.0002749293359143312,k_lin_n.4600.
5283502.962358244,0.0002749293359143312,k_lin_p.000800.
5283502.962358244,0.0002749293359143312,k_lin_p.000900.
5283502.962358244,0.0002749293359143312,k_lin_p.001000.
5283502.962358244,0.0002749293359143312,k_lin_n.5200.
5283502.962358244,0.0002749293359143312,k_lin_n.5400.
5283502.962358244,0.0002749293359143312,k_lin_n.5600.
5283502.962358244,0.0002749293359143312,k_lin_n.5800.
5283502.962358244,0.0002749293359143312,k_lin_n.6000.
5283502.962358244,0.0002749293359143312,k_t4p_n.04000.
5283502.962358244,0.0002749293359143312,k_t4p_n.04500.
5283502.962358244,0.0002749293359143312,k_t4p_n.05000.
5283502.962358244,0.0002749293359143312,k_t4p_n.05500.
5283502.962358244,0.0002749293359143312,k_d4_n.0480.
5283502.962358244,0.0002749293359143312,k_d4_n.0520.
5283502.962358244,0.0002749293359143312,k_d4_n.0560.
5283502.962358244,0.0002749293359143312,k_d4_n.0600.
5283502.962358244,0.0002749293359143312,k_branch_p.0032.
5283502.962358244,0.0002749293359143312,k_branch_p.0034.
5283502.962358244,0.0002749293359143312,k_branch_p.0036.
5283502.962358244,0.0002749293359143312,k_branch_p.0038.
5283502.962358244,0.0002749293359143312,k_branch_p.0023.
5283502.962358244,0.0002749293359143312,k_branch_p.0024.
5283502.962358244,0.0002749293359143312,k_branch_p.0025.
5283502.962358244,0.0002749293359143312,k_branch_p.0026.
5283502.962358244,0.0002749293359143312,k_branch_p.0048.
5283502.962358244,0.0002749293359143312,k_branch_p.0050.
5283502.962358244,0.0002749293359143312,k_branch_p.0052.
5283502.962358244,0.0002749293359143312,k_branch_p.0054.
5283502.962358244,0.0002749293359143312,k_branch_p.0027.
5283502.962358244,0.0002749293359143312,k_branch_p.0028.
5283502.962358244,0.0002749293359143312,k_branch_p.0029.
5283502.962358244,0.0002749293359143312,k_branch_p.0030.
5283502.962358244,0.0002749293359143312,k_branch_p.0064.
5283502.962358244,0.0002749293359143312,k_branch_p.0066.
5283502.962358244,0.0002749293359143312,k_branch_p.0068.
5283502.962358244,0.0002749293359143312,k_branch_p.0070.
5283502.962358244,0.0002749293359143312,k_branch_p.0040.
5283502.962358244,0.0002749293359143312,k_branch_p.0042.
5283502.962358244,0.0002749293359143312,k_branch_p.0044.
5283502.962358244,0.0002749293359143312,k_branch_p.0046.
5283502.962358244,0.0002749293359143312,k_poly_p.0600.
5283502.962358244,0.0002749293359143312,k_poly_p.0620.
5283502.962358244,0.0002749293359143312,k_poly_p.0640.
5283502.962358244,0.0002749293359143312,k_poly_p.0660.
5283502.962358244,0.0002749293359143312,k_poly_p.0680.
5283502.962358244,0.0002749293359143312,k_poly_p.0700.
5283502.962358244,0.0002749293359143312,k_d4_n.1720.
5283502.962358244,0.0002749293359143312,k_d4_n.1760.
5283502.962358244,0.0002749293359143312,k_poly_p.0720.
5283502.962358244,0.0002749293359143312,k_poly_p.0740.
5283502.962358244,0.0002749293359143312,k_poly_p.0760.
5283502.962358244,0.0002749293359143312,k_poly_p.0780.
5283502.962358244,0.0002749293359143312,k_poly_p.0800.
5283502.962358244,0.0002749293359143312,k_poly_p.0820.
5283502.962358244,0.0002749293359143312,k_poly_p.0840.
5283502.962358244,0.0002749293359143312,k_poly_p.0860.
5283502.962358244,0.0002749293359143312,k_poly_p.0880.
5283502.962358244,0.0002749293359143312,k_poly_p.0900.
5283502.962358244,0.0002749293359143312,k_poly_p.0920.
5283502.962358244,0.0002749293359143312,k_poly_p.0940.
5283502.962358244,0.0002749293359143312,k_d4_n.0640.
